iso3,period,year,quarter,penetr_gen,penetr_fam,densite_gen,densite_fam,equity_assets_gen,equity_assets_fam,retention_gen,retention_fam,opex_ratio_gen,opex_ratio_fam,invest_income_gen,invest_income_fam,operateurs_gen,operateurs_fam,gwc_gen,gwc_fam,nwc_gen,nwc_fam,gwc_gen_flux,gwc_fam_flux,nwc_gen_flux,nwc_fam_flux,wui_raw,wui_ma3,wui_global,specA,covid,ln_gwc_gen,ln_gwc_fam
MYS,2019Q1,2019,1,0.243399,1.365341,2697.508549,15131.62805,30.069119,13.466017,78.563431,93.549663,31.387673,18.674019,6.043266,1.026091,4,11,881.006292,2737.287281,692.148767,2560.723021,881.006292,2737.287281,692.148767,2560.723021,0.1586798,0.0398872,36588.02,TRUE,FALSE,6.7810647677948985,7.914722665534746
MYS,2019Q2,2019,2,0.44032,1.356167,5013.677833,15441.909672,30.264598,12.994772,81.56251,92.851279,29.675221,19.155279,6.205976,2.009919,4,11,1633.456238,4799.102276,1332.287913,4456.027864,752.449946,2061.8149949999997,640.1391459999999,1895.304843,0,0.0185851,40489.04,TRUE,FALSE,6.623334477467159,7.631341939407203
MYS,2019Q3,2019,3,0.649392,1.345181,7601.252102,15745.588737,30.931551,12.917562,82.627138,92.670682,29.261193,19.576693,6.030464,2.980328,4,11,2480.288561,7017.019515,2049.391443,6502.719807,846.8323229999999,2217.9172390000003,717.1035300000001,2046.6919430000007,0,0.0052893,32800.98,TRUE,FALSE,6.741502709292735,7.704323853868796
MYS,2019Q4,2019,4,0.836834,1.349127,10135.81067,16340.745869,30.720465,13.371766,82.228625,92.605984,29.281455,19.816227,5.961531,3.894665,4,11,3312.382927,9294.181306,2723.726943,8606.968032,832.0943660000003,2277.1617910000004,674.3355000000001,2104.2482250000003,0,0,52716.26,TRUE,FALSE,6.723945855062648,7.730685117997111
MYS,2020Q1,2020,1,0.251579,1.491767,2840.374704,16842.353862,31.045887,13.277652,77.916773,91.843397,31.930194,16.954189,5.280989,1.067535,4,11,925.110041,3095.181789,720.815895,2842.720107,925.110041,3095.181789,720.815895,2842.720107,0,0,55684.71,TRUE,TRUE,6.829912693680103,8.037601919742734
MYS,2020Q2,2020,2,0.543559,1.825193,5044.32082,16938.115506,30.331509,12.94235,79.487168,89.556334,30.632884,17.790979,5.652257,1.914972,4,11,1643.439723,4842.18955,1306.323698,4336.487445,718.3296819999999,1747.0077609999998,585.507803,1493.7673379999997,0.0624961,0.0124992,28914.37,TRUE,TRUE,6.576928630794175,7.465659752596999
MYS,2020Q3,2020,3,0.697125,1.568571,7882.929236,17737.027509,30.691594,12.678906,80.153997,88.898321,30.095305,17.929296,5.613972,2.730588,4,11,2569.834931,7309.293747,2059.825426,6497.839391,926.3952079999999,2467.1041969999997,753.501728,2161.3519460000007,0.2090447,0.0480585,27497.73,TRUE,TRUE,6.831300934093781,7.8108003519568445
MYS,2020Q4,2020,4,0.913521,1.612359,10622.184565,18748.098921,30.173625,12.936319,79.777494,89.001964,29.7311,18.707404,5.492708,3.536909,4,11,3464.956605,9959.359043,2764.255544,8864.025136,895.121674,2650.0652960000007,704.4301180000002,2366.1857449999998,0.3165225,0.0862922,22319.62,TRUE,TRUE,6.796959657638033,7.882339558676708
MYS,2021Q1,2021,1,0.290176,1.733414,3306.841936,19753.996196,30.406792,13.009897,72.585458,92.470648,32.049257,14.617976,5.287963,0.981949,4,11,1078.030471,3651.838167,782.493355,3376.878403,1078.030471,3651.838167,782.493355,3376.878403,0.2161383,0.0818481,11888.73,TRUE,TRUE,6.982891017303226,8.202985927206152
MYS,2021Q2,2021,2,0.498013,1.789847,5720.486233,20559.288396,29.245583,13.258393,75.756736,91.314961,30.838347,15.942003,5.594133,1.889698,4,11,1864.878512,6325.656623,1412.771086,5776.270862,786.848041,2673.818456,630.277731,2399.392459,0.2215494,0.0764745,18072.81,TRUE,TRUE,6.6680351433697576,7.891262863060916
MYS,2021Q3,2021,3,0.724794,1.859856,8408.010929,21575.3535,29.760683,12.999554,76.774303,90.730247,30.547556,16.420442,5.760147,2.774246,4,11,2741.011563,8917.910017,2104.392529,8091.24182,876.133051,2592.2533940000003,691.6214430000002,2314.970958,0.7276961,0.1748988,21508.56,TRUE,FALSE,6.775517964106274,7.860282812724829
MYS,2021Q4,2021,4,0.902462,1.747825,11758.206031,22772.476963,29.517524,13.217669,76.548243,90.608014,30.393902,16.813038,5.817296,3.635554,4,11,3833.175166,11996.117831,2934.228252,10869.44415,1092.163603,3078.2078139999994,829.8357229999997,2778.202329999999,0.3724395,0.1546425,19802.65,TRUE,FALSE,6.995915964680085,8.032102828039156
MYS,2022Q1,2022,1,0.289934,1.790961,3755.827396,23200.252298,29.6535,13.043368,73.943137,92.528849,32.31707,13.436108,5.828393,0.95037,4,11,1224.399731,4427.070816,905.359569,4096.317663,1224.399731,4427.070816,905.359569,4096.317663,0.1411632,0.0897331,26455.02,TRUE,FALSE,7.110205987371788,8.395493428990015
MYS,2022Q2,2022,2,0.502065,1.758329,6826.058122,23906.195896,30.443217,12.945643,76.255428,91.242537,30.860411,15.211346,5.88698,1.919627,4,11,2232.121006,7547.289096,1702.113427,6886.338019,1007.7212749999999,3120.21828,796.753858,2790.020356,0.1345352,0.053438,29343.64,TRUE,FALSE,6.915446897497748,8.045658239894795
MYS,2022Q3,2022,3,0.723599,1.769159,10051.131313,24574.456137,30.844454,12.770969,77.763658,89.881275,30.395394,16.131576,5.860546,2.93655,4,11,3306.822202,11038.684959,2571.505902,9921.710819,1074.701196,3491.3958629999997,869.3924749999999,3035.3728,0.1189485,0.0419487,24504.76,TRUE,FALSE,6.979797944715196,8.158056895978481
MYS,2022Q4,2022,4,0.992927,1.784668,14065.556391,25281.161312,29.692241,13.117354,76.77278,89.393924,30.239876,16.795988,5.908812,3.791836,4,11,4641.633609,14251.825473,3563.511181,12740.266049,1334.8114070000006,3213.1405140000006,992.005279,2818.55523,0.2557152,0.0675224,26500.43,TRUE,FALSE,7.196545292690269,8.075004091119451
NGA,2019Q1,2019,1,NA,NA,NA,NA,44.008551,13.256064,104.280955,113.479492,35.068135,86.473993,0.549785,0.548298,NA,NA,274594689,76371452,286349965,86665936,274594689,76371452,286349965,86665936,0.2813098,0.0867657,36588.02,TRUE,FALSE,19.430806710251677,18.15111951938515
NGA,2019Q2,2019,2,NA,NA,NA,NA,15.026499,8.595199,73.483467,92.376326,71.138141,87.268442,1.991539,1.458251,NA,NA,410470369,173950090,301627857,160688703,135875680,97578638,15277892,74022767,0.4365995,0.1232793,40489.04,TRUE,FALSE,18.72725090799294,18.396169154476322
NGA,2019Q3,2019,3,NA,NA,NA,NA,0.818979,4.103183,63.32084,90.643032,97.236997,108.943949,3.554924,11.504977,NA,NA,544019718,251294003,344477856,227780503,133549349,77343913,42849999,67091800,0.2115358,0.0953441,32800.98,TRUE,FALSE,18.709981622929554,18.163772437639864
NGA,2019Q4,2019,4,NA,NA,NA,NA,-1.035459,13.335852,60.259337,88.867391,98.360781,89.301549,8.135508,5.301886,NA,NA,718674651,436928580,433068582,388287030,174654933,185634577,88590726,160506527,0.4678206,0.129271,52716.26,TRUE,FALSE,18.978322773879782,19.039290659456345
NGA,2020Q1,2020,1,NA,NA,NA,NA,24.820798,20.235557,99.401768,112.962238,50.107435,64.647417,0.626892,0.190681,NA,NA,417815159,138302705,415315653,156229831,417815159,138302705,415315653,156229831,1.071199,0.2680731,55684.71,TRUE,TRUE,19.850549689339015,18.744955355373577
